Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
26.40000000	0.13321483	693.02224100	0.02612055	330.08918362	
26.50000000	0.13371943	694.95477900	0.02621950	331.00965897	
26.60000000	0.13422403	696.53236100	0.02631844	331.76106740	
26.70000000	0.13472863	698.34658100	0.02641738	332.62518743	
26.80000000	0.13523323	700.31855800	0.02651632	333.56444773	
26.90000000	0.13573783	702.15249800	0.02661526	334.43796047	
27.00000000	0.13624244	704.24279400	0.02671420	335.43357657	
27.10000000	0.13674704	706.28379100	0.02681314	336.40571136	
27.20000000	0.13725164	708.09801000	0.02691209	337.26983091	
27.30000000	0.13775624	710.03054800	0.02701103	338.19030626	
27.40000000	0.13826084	711.89406700	0.02710997	339.07790760	
27.50000000	0.13876544	713.82660500	0.02720891	339.99838295	
27.60000000	0.13927004	715.82816300	0.02730785	340.95173279	
27.70000000	0.13977465	717.90859900	0.02740679	341.94265254	
27.80000000	0.14027925	719.66365900	0.02750573	342.77859443	
27.90000000	0.14078385	721.37928000	0.02760468	343.59575137	
28.00000000	0.14128845	723.20335900	0.02770362	344.46456728	
28.10000000	0.14179305	724.87954000	0.02780256	345.26293879	
28.20000000	0.14229765	727.11773500	0.02790150	346.32899976	
28.30000000	0.14280226	729.03055300	0.02800044	347.24008240	
28.40000000	0.14330686	730.96309100	0.02809938	348.16055775	
28.50000000	0.14381146	732.96464900	0.02819833	349.11390760	
28.60000000	0.14431606	734.63097000	0.02829727	349.90758276	
28.70000000	0.14482066	736.59308700	0.02839621	350.84214670	
28.80000000	0.14532526	738.27912800	0.02849515	351.64521457	
28.90000000	0.14582987	740.27082600	0.02859409	352.59386806	
29.00000000	0.14633447	742.45972100	0.02869303	353.63644725	
29.10000000	0.14683907	744.37253900	0.02879197	354.54752989	
29.20000000	0.14734367	746.39381600	0.02889092	355.51027197	
29.30000000	0.14784827	748.27705500	0.02898986	356.40726602	
29.40000000	0.14835287	749.93351600	0.02908880	357.19624482	
29.50000000	0.14885748	751.60969700	0.02918774	357.99461634	
29.60000000	0.14936208	753.53237500	0.02928668	358.91039533	
29.70000000	0.14986668	755.33673400	0.02938562	359.76981853	
29.80000000	0.15037128	757.40731100	0.02948456	360.75604239	
29.90000000	0.15087588	759.43844800	0.02958351	361.72348083	
30.00000000	0.15138048	761.33154600	0.02968245	362.62517075	
30.10000000	0.15188509	762.98800700	0.02978139	363.41414956	
30.20000000	0.15238969	764.74306700	0.02988033	364.25009145	
30.30000000	0.15289429	766.67560500	0.02997927	365.17056680	
30.40000000	0.15339889	768.64758300	0.03007821	366.10982758	
30.50000000	0.15390349	770.76745900	0.03017716	367.11953275	
30.60000000	0.15440809	772.59153800	0.03027610	367.98834865	
30.70000000	0.15491269	774.62267500	0.03037504	368.95578709	
30.80000000	0.15541730	776.35801500	0.03047398	369.78233627	
30.90000000	0.15592190	778.14265500	0.03057292	370.63236723	
31.00000000	0.15642650	779.82869500	0.03067186	371.43543463	
31.10000000	0.15693110	781.47529700	0.03077080	372.21971755	
31.20000000	0.15743570	783.09231800	0.03086975	372.98991093	
31.30000000	0.15794030	784.83751800	0.03096869	373.82115647	
31.40000000	0.15844491	786.87851500	0.03106763	374.79329126	
31.50000000	0.15894951	788.91951200	0.03116657	375.76542605	
31.60000000	0.15945411	790.70415100	0.03126551	376.61545654	
31.70000000	0.15995871	792.64654900	0.03136445	377.54062824	
31.80000000	0.16046331	794.33259000	0.03146339	378.34369612	
31.90000000	0.16096791	795.77213400	0.03156234	379.02935651	
32.00000000	0.16147252	797.61593200	0.03166128	379.90756466	
32.10000000	0.16197712	799.32169300	0.03176022	380.72002524	
32.20000000	0.16248172	801.36269000	0.03185916	381.69216004	
32.30000000	0.16298632	803.47270500	0.03195810	382.69716837	
32.40000000	0.16349092	805.66160000	0.03205704	383.73974756	
32.50000000	0.16399552	807.49553900	0.03215599	384.61325982	
32.60000000	0.16450013	809.12242100	0.03225493	385.38815004	
32.70000000	0.16500473	810.67042300	0.03235387	386.12546940	
32.80000000	0.16550933	812.32688400	0.03245281	386.91444820	
32.90000000	0.16601393	814.18054300	0.03255175	387.79735318	
33.00000000	0.16651853	816.05392200	0.03265069	388.68965087	
33.10000000	0.16702313	817.86814100	0.03274963	389.55377042	
33.20000000	0.16752773	819.71194000	0.03284858	390.43197904	
33.30000000	0.16803234	821.25008200	0.03294752	391.16460205	
33.40000000	0.16853694	823.14318000	0.03304646	392.06629197	
33.50000000	0.16904154	825.14473700	0.03314540	393.01964134	
33.60000000	0.16954614	826.94909700	0.03324434	393.87906502	
33.70000000	0.17005074	828.96051400	0.03334328	394.83711074	
33.80000000	0.17055534	830.63669400	0.03344222	395.63548178	
33.90000000	0.17105995	832.15511700	0.03354117	396.35871255	
34.00000000	0.17156455	833.74255900	0.03364011	397.11481734	
34.10000000	0.17206915	835.66523700	0.03373905	398.03059633	
34.20000000	0.17257375	837.55833500	0.03383799	398.93228626	
34.30000000	0.17307835	839.71765000	0.03393693	399.96077638	
34.40000000	0.17358295	841.66004800	0.03403587	400.88594808	
34.50000000	0.17408756	843.36580800	0.03413481	401.69840819	
34.60000000	0.17459216	845.15044800	0.03423376	402.54843915	
34.70000000	0.17509676	846.98438700	0.03433270	403.42195142	
34.80000000	0.17560136	848.87748500	0.03443164	404.32364134	
34.90000000	0.17610596	850.72128400	0.03453058	405.20184996	
35.00000000	0.17661056	852.66368200	0.03462952	406.12702167	
35.10000000	0.17711517	854.37930200	0.03472846	406.94417814	
35.20000000	0.17761977	856.12450200	0.03482741	407.77542367	
35.30000000	0.17812437	857.93872100	0.03492635	408.63954322	
35.40000000	0.17862897	859.51630300	0.03502529	409.39095166	
35.50000000	0.17913357	861.20234300	0.03512423	410.19401905	
35.60000000	0.17963817	862.84894400	0.03522317	410.97830150	
